"","x"
"1",308.478229839903
"2",307.773217456132
"3",350.889191516813
"4",328.589324927477
"5",303.794748662827
"6",333.799752911657
"7",336.418267761726
"8",346.830489102306
"9",352.657733956692
"10",310.156766856848
"11",308.004569248628
"12",307.859828425111
"13",343.203063413346
"14",353.708696991637
"15",322.829920944641
"16",346.582152843297
"17",344.796218523123
"18",322.667221708228
"19",346.03143812365
"20",319.411033815585
"21",331.16425795059
"22",310.087369837499
"23",349.893338763096
"24",303.335394302422
"25",307.265922685373
"26",343.899793884617
"27",303.543425573216
"28",343.520386904583
"29",318.516390997585
"30",304.996137109372
"31",351.045175829056
"32",341.672490837759
"33",348.111124082567
"34",307.083921172649
"35",321.668123779255
"36",346.95817392436
"37",321.08490174892
"38",306.789652107666
"39",351.980733131418
"40",351.665232865815
"41",323.108012352022
"42",345.683999835711
"43",325.02467113839
"44",342.731222015423
"45",346.823307009404
"46",322.509340747996
"47",308.486021270932
"48",345.866903200805
"49",354.136040530267
"50",344.336204128872
"51",343.891771251074
"52",327.91946605638
"53",348.683462119429
"54",306.108119895797
"55",305.131166977305
"56",307.959003114331
"57",307.473961099513
"58",342.981792776054
"59",346.677712899605
"60",348.733169371808
"61",332.362170642574
"62",304.619354337396
"63",352.919629708882
"64",304.847925033413
"65",347.581853490792
"66",309.172080771471
"67",347.236177792413
"68",325.675458409083
"69",312.428662290597
"70",324.790874210844
"71",308.977516208033
"72",319.435181682361
"73",310.388851778439
"74",306.912284134029
"75",348.22677300085
"76",331.345628434005
"77",321.558992010569
"78",353.245148901094
"79",327.122665482684
"80",328.465933532776
"81",345.732246014218
"82",346.99987116138
"83",343.326833004983
"84",308.232289818155
"85",323.481972720263
"86",309.711209227264
"87",344.48612475089
"88",309.009068906017
"89",308.834364203957
"90",306.706754207251
"91",304.477343450435
"92",306.492870535964
"93",352.000851977258
"94",323.80578378713
"95",323.484764076707
"96",314.787455172544
"97",347.048334354735
"98",348.84412677414
"99",319.162039460539
"100",345.571846287058
"101",347.947114215314
"102",307.327782783915
"103",308.915316712815
"104",330.60671103083
"105",346.859713569008
"106",309.165127788254
"107",307.11218851305
"108",343.155174155481
"109",328.315655575765
"110",349.320273950621
"111",333.30212266458
"112",349.102921990591
"113",308.077770988375
"114",350.393989977232
"115",306.123247581425
"116",309.804635019282
"117",342.984486259886
"118",308.528050723763
"119",345.813479677411
"120",349.120021897996
"121",330.651584412405
"122",345.555806325846
"123",347.146519686599
"124",307.622606011449
"125",321.988949530553
"126",346.413513968418
"127",344.329859974247
"128",309.395572238841
"129",307.093150023531
"130",347.78515371815
"131",351.019085821296
"132",310.40300238099
"133",310.102590628735
"134",346.033081503773
"135",332.986426437701
"136",351.919198460591
"137",343.045260797924
"138",342.905177615041
"139",331.370073127186
"140",345.22390890859
"141",353.533411417708
"142",350.759374057423
"143",301.646683569725
"144",303.668036359722
"145",349.527432080097
"146",348.156518976601
"147",311.276943417283
"148",322.531997840806
"149",310.68104535814
"150",317.094502333025
"151",343.801693883486
"152",347.498469584981
"153",306.022671510561
"154",344.588167539298
"155",343.449873548946
"156",305.92187056794
"157",342.328790506809
"158",305.656553025311
"159",308.827150839206
"160",305.465526672591
"161",308.840541240744
"162",331.987581957819
"163",348.192845124541
"164",316.630326900025
"165",325.255450261922
"166",347.425284859033
"167",310.50155180349
"168",308.8912205159
"169",346.658708893524
"170",309.542669233534
"171",346.594404947205
"172",321.975693436221
"173",325.824431212153
"174",343.433241002546
"175",346.562940536213
"176",328.405386221541
"177",345.368573656406
"178",317.932617469577
"179",347.363213135221
"180",333.943315570889
"181",306.825843883137
"182",306.405230350154
"183",332.840760535591
"184",351.0485917626
"185",324.469426576736
"186",308.599871868905
"187",325.53345778892
"188",344.032929713609
"189",330.810380960144
"190",349.826328582179
"191",345.216670103105
"192",349.151545864069
"193",307.170258264742
"194",334.105467493801
"195",303.305770132271
"196",347.994207496933
"197",309.044856399544
"198",323.37798015608
"199",309.881746626912
"200",321.814452462319
"201",306.773691191679
"202",308.712959674291
"203",346.443247699981
"204",309.856103699806
"205",311.163534888187
"206",345.297529684681
"207",343.736730728214
"208",309.642020387522
"209",308.436323701746
"210",349.15851318178
"211",328.104705307766
"212",307.332917558771
"213",324.650858414836
"214",329.901327808046
"215",322.849435300835
"216",302.367224278271
"217",350.565043738371
"218",326.828991920515
"219",326.241444930087
"220",309.605867648398
"221",308.473636364065
"222",305.857781021683
"223",306.159238387849
"224",349.687758136786
"225",334.27211325897
"226",346.84391452203
"227",305.659840308792
"228",306.200897512053
"229",348.301670287839
"230",321.531215216552
"231",305.01259009262
"232",305.155179595565
"233",306.954827000658
"234",346.967780445936
"235",345.499289142852
"236",346.454984973225
"237",347.568624339472
"238",348.508966890475
"239",352.021758380361
"240",354.641684457052
"241",308.04429767886
"242",344.322739615898
"243",333.184937821617
"244",304.682153945553
"245",351.479851250278
"246",305.303500167269
"247",347.923045823205
"248",310.866044831587
"249",349.107630052883
"250",331.048929154386
"251",323.603671306055
"252",335.965656904719
"253",344.421093580031
"254",348.852151979248
"255",351.007509689832
"256",305.931982444975
"257",308.056745687731
"258",346.778905315964
"259",307.218918972455
"260",334.30054264336
"261",346.539265993704
"262",306.68748417837
"263",306.227253749873
"264",319.882951265547
"265",340.48121959403
"266",305.564187599255
"267",310.399565520166
"268",321.827016800148
"269",343.16543347805
"270",305.849184531497
"271",304.220711029228
"272",303.994814984058
"273",349.793761157874
"274",306.417741834854
"275",308.354339585665
"276",305.746459216706
"277",304.115044649417
"278",305.819096873696
"279",344.623259608983
"280",319.670325063526
"281",306.964606868186
"282",349.979188431748
"283",331.130695072215
"284",302.95293804063
"285",310.789691590692
"286",309.360637077089
"287",311.828326956054
"288",306.518673672164
"289",311.142578828579
"290",307.465428155245
"291",306.253063311819
"292",305.333308735357
"293",326.609775760205
"294",309.071438520938
"295",350.878624131945
"296",350.431953632514
"297",308.41041716124
"298",307.57568988711
"299",307.51526628588
"300",336.984958731172
"301",345.663186988868
"302",305.647212098082
"303",348.234816774213
"304",345.239445740923
"305",304.451264774293
"306",328.309313267918
"307",308.005320284673
"308",326.750074409506
"309",310.117667719112
"310",343.6833683095
"311",307.354397351277
"312",311.063826663134
"313",325.522653151187
"314",349.849379417916
"315",307.419418606368
"316",350.669470358563
"317",309.174105925373
"318",306.61301768837
"319",328.613499662894
"320",346.130727931224
"321",342.691848962892
"322",308.754712498001
"323",346.684355586801
"324",323.995948469183
"325",319.257336999021
"326",332.158580302771
"327",324.552297872816
"328",322.937920494268
"329",304.718210065657
"330",320.120753852232
"331",340.193571678094
"332",309.87360929095
"333",347.967666243144
"334",321.731287787103
"335",306.896934326102
"336",308.579548178637
"337",346.346283372754
"338",305.910995243231
"339",346.176259023136
"340",331.082871701857
"341",333.90903165252
"342",302.60118701199
"343",352.844281393325
